conversation_id,title,url
68d26cc6-99c4-832e-8c15-a92555bd6f99,Shipwreck captain identification,https://en.wikipedia.org/wiki/RMS_Quetta
68fbcd76-d42c-8331-9911-ad96ced2d27a,2019 entry title,https://bastreetart.com/tag/coghlan-street-art/
68fe8985-fd88-8329-baf9-0e3116c8a907,Movie review writer clues,https://kathmandupost.com/movie-review/2023/04/26/jaari-could-ve-been-so-much-more-it-s-unfortunate-that-it-wasn-t
68fbbe6e-22cc-832c-ab9b-262e1b69317d,COVID-19 article title,https://pubmed.ncbi.nlm.nih.gov/34265068/
68fe871e-d80c-8332-9922-cb77b007e4ba,Identify explorer's first name,https://palaeontologicalsociety.in/vol56_2/v1.pdf
68fb6872-8ca0-832d-bfbf-2b37aa8e4e65,Game version reference 2020,https://link.springer.com/article/10.1007/s11846-020-00378-0
68de4bc7-4844-832a-b8ac-11921fc4344b,Episode 404 title,https://en.wikipedia.org/wiki/Episodes_%28TV_series%29
68de4bc7-4844-832a-b8ac-11921fc4344b,Episode 404 title,https://www.rottentomatoes.com/tv/episodes/s04/e04
68fe8255-cf04-832e-9228-bbdfff4fef2a,Song in advertisement search,https://music.apple.com/hk/album/%E4%BD%A0%E4%B8%8D%E7%9C%9F%E7%9A%84%E6%83%B3%E6%B5%81%E6%B5%AA/1032415626
68fe8255-cf04-832e-9228-bbdfff4fef2a,Song in advertisement search,https://www.upworthy.com/a-lone-voice-in-the-london-underground-stands-out-all-due-to-kindness-for-a-grieving-widow-rp
68fe8255-cf04-832e-9228-bbdfff4fef2a,Song in advertisement search,https://forgoodmusic.com.tw/music/artist_about/kowen
68fe8255-cf04-832e-9228-bbdfff4fef2a,Song in advertisement search,https://www.gq.com/story/leon-bridges-good-thing
68fe8255-cf04-832e-9228-bbdfff4fef2a,Song in advertisement search,https://en.wikipedia.org/wiki/Miles_Jay
68fe8255-cf04-832e-9228-bbdfff4fef2a,Song in advertisement search,https://www.youtube.com/watch?v=DUPCwXwt2HM
68fe8255-cf04-832e-9228-bbdfff4fef2a,Song in advertisement search,https://en.wikipedia.org/wiki/Coming_Home_%28Leon_Bridges_album%29
68fe8255-cf04-832e-9228-bbdfff4fef2a,Song in advertisement search,https://zh.wikipedia.org/zh-hant/%E6%9F%AF%E6%99%BA%E6%A3%A0
68fe8090-8628-8325-8c99-5b2a0ad28dd6,Translator identification,https://www.penguinrandomhouse.com/books/76666/the-good-soldier-svejk-by-jaroslav-hasek-translated-and-introduced-by-cecil-parrott/
68d2f90f-20f8-8321-8048-f7bef9e62cdc,Team founding year and country,https://en.wikipedia.org/wiki/Pakhtakor_FC
68fe8908-0ce8-8331-b3cc-bb34d6a0d999,Mystery settlement identification,https://nhcn.ca/emergency-medical-services/
68fe8908-0ce8-8331-b3cc-bb34d6a0d999,Mystery settlement identification,https://ldwhite68.tripod.com/ferries/ferry2mb.htm
68fe8908-0ce8-8331-b3cc-bb34d6a0d999,Mystery settlement identification,https://www.northwest.ca/community/community-engagement/609/did-you-know-about-rossville
68fe8908-0ce8-8331-b3cc-bb34d6a0d999,Mystery settlement identification,https://www.worldatlas.com/articles/the-longest-rivers-in-canada.html
68fbcc01-ca80-8328-913e-9cefa3ea2896,Lover's identity revealed,https://roadsandkingdoms.com/2014/mr-big-bucks-and-the-mamelodi-sundowns/
68fe7e01-2188-8333-9d3a-453e9f38c186,Poet's father fruit type,https://www.encyclopedia.com/women/encyclopedias-almanacs-transcripts-and-maps/taggard-genevieve-1894-1948
68d26dbe-bb34-8325-8700-4b18f7829671,Incumbent king's coronation name,https://en.wikipedia.org/wiki/Ewuare_II
68dee7ae-8c8c-8331-b807-297d3c3a2680,Miracle fruit identification,https://en.wikipedia.org/wiki/Miraculin
68fbcd82-88bc-832b-af73-c618419fc971,Author identification query,https://pubmed.ncbi.nlm.nih.gov/27732575/
68fbcd82-88bc-832b-af73-c618419fc971,Author identification query,https://www.researchgate.net/publication/352218900_Insight_into_the_Evolution_of_the_Avian_Vocal_Organ_or_Syrinx_from_Enhanced-Contrast_X-ray_Computed_Tomography_and_Fossil_Data
68fe8b4f-8730-832f-9aaf-945d6f28ba5a,Day of Reparation,https://www.vaticannews.va/en/church/news/2018-06/philippines-priest-killed-nilo-valles-bancud.html
68fe8b4f-8730-832f-9aaf-945d6f28ba5a,Day of Reparation,https://cbcpnews.net/cbcpnews/archbishop-calls-day-of-reparation-over-priests-murder/
68fb6705-75a8-832d-afea-9e38f551df03,University building inquiry,https://benefactor67.rssing.com/chan-52904274/latest.php
68fb65d7-89f8-8332-a8b3-13ceeba04f8e,Book title explanation,https://archive.org/details/inarmsofmorpheus0000hodg
68d2564d-2648-832d-87b0-0cd355d84eb2,College joined by author,https://en.wikipedia.org/wiki/Yu-Chi_Ho
68fbb769-12b4-8325-bd9c-4cada5f9b4e8,2019 LoL World Championship,https://en.wikipedia.org/wiki/2019_League_of_Legends_World_Championship
68fbba8c-2294-832b-bfbf-86a55d7859cb,Article name query,https://www.marxists.org/archive/tagore/1966/rajarammohunroy.pdf
68d28005-3030-8327-a98b-67598c700e38,Football coach identification,https://www.aap.com.au/factcheck/inspirational-quote-on-starting-over-isnt-from-c-s-lewis/
68d28005-3030-8327-a98b-67598c700e38,Football coach identification,https://quoteinvestigator.com/2015/11/05/new-ending/
68d3b424-315c-832b-a703-3f43a9b857c7,Interviewer's first name,https://en.wikipedia.org/wiki/Thando_Thabethe
68d3b424-315c-832b-a703-3f43a9b857c7,Interviewer's first name,https://www.timeslive.co.za/news/south-africa/2013-06-14-sas-first-face-of-revlon/
68d25613-c428-832a-a4a9-c49219cd492f,Editor name inquiry,https://en.wikipedia.org/wiki/Miranda_Robertson
68fbba5e-29a8-832e-8e66-9ab7629645bf,Illustrator and collaborator details,https://www.jeuxvideo.com/dossier/1158480/snatcher-l-euvre-culte-d-hideo-kojima-meconnue-en-occident/1158512.htm
68fe870c-9664-8333-abae-4139e2b55f8b,Senior animators surnames,https://www.mobygames.com/game/30569/heroes-of-might-and-magic-v-tribes-of-the-east/credits/windows/
68fe870c-9664-8333-abae-4139e2b55f8b,Senior animators surnames,https://en.wikipedia.org/wiki/Heroes_of_Might_and_Magic_V%3A_Tribes_of_the_East
68fb6471-bb40-832b-99c9-54368d2172ff,Competition year and host,https://cphof.org/contest/icpc
68fe86e0-6158-8331-8f80-cd548cbbee33,Character mention comparison,https://buenosaires.for91days.com/the-eternauta/
68fbb735-d648-832a-86c9-0c50ef1612a9,New chat,https://www.sbs.com.au/food/article/20-minutes-with-alex-atala/yijjsm064
68d9b022-35f4-8325-ab8b-e5d4466ef3d2,Relationship end date,https://www.news24.com/life/arts-and-entertainment/celebrities/losing-faith-nzuzo-njilo-and-faith-nketsi-finalise-split-after-shady-deal-claims-20231130
68fbcd8c-d294-8329-b7c3-898d53064181,Gentle introduction to metadata,https://www.researchgate.net/publication/283645182_A_gentle_introduction_to_metadata
68fbbe87-44e4-8326-95ed-18eb09aa80e9,Band formed 1960-1980,https://en.wikipedia.org/wiki/The_Crazy_World_of_Arthur_Brown
